,student_id,assignment_id,question_id,correctness_trait,confidence_trait,given_confidence,acquired_grade,grade_class,awareness,awareness_change,awareness_class,outlook,outlook_change,outlook_class,initial_mastery,mastery,mastery_change
220,23,1,1,Occasionally correct,Always confident but occasionally not confident,2,36.37,0,1.0,0.0,HIGH,0.0,0.0,RANDOM,0.6114385928073756,0.4585852974508641,0.0
221,23,1,2,Occasionally correct,Always confident but occasionally not confident,2,90.18,1,1.0,0.0,HIGH,0.0,0.0,RANDOM,0.6114385928073756,0.6702339273284179,0.21164862987755378
222,23,1,3,Occasionally correct,Always confident but occasionally not confident,2,92.85,1,1.0,0.0,HIGH,0.0,0.0,RANDOM,0.6114385928073756,0.8279279317593988,0.15769400443098092
223,23,1,4,Occasionally correct,Always confident but occasionally not confident,2,97.71,1,1.0,0.0,HIGH,0.0,0.0,RANDOM,0.6114385928073756,0.9188744670855967,0.0909465353261979
224,23,1,5,Occasionally correct,Always confident but occasionally not confident,2,97.39,1,1.0,0.0,HIGH,0.0,0.0,RANDOM,0.6114385928073756,0.963768170393967,0.04489370330837028
225,23,1,6,Occasionally correct,Always confident but occasionally not confident,0,66.12,0,0.6667,-0.33330000000000004,HIGH,-0.1667,-0.1667,RANDOM,0.6114385928073756,0.9313848448431277,-0.03238332555083934
226,23,1,7,Occasionally correct,Always confident but occasionally not confident,2,68.07,0,0.7143,0.04760000000000009,HIGH,-0.1429,0.023799999999999988,RANDOM,0.6114385928073756,0.8742099793464312,-0.05717486549669648
227,23,1,8,Occasionally correct,Always confident but occasionally not confident,2,29.66,0,0.75,0.035699999999999954,HIGH,-0.125,0.0179,RANDOM,0.6114385928073756,0.7817081188193876,-0.09250186052704357
228,23,1,9,Occasionally correct,Always confident but occasionally not confident,0,1.58,0,0.5556,-0.19440000000000002,HIGH,-0.2222,-0.09720000000000001,RANDOM,0.6114385928073756,0.6513098904006194,-0.13039822841876825
229,23,1,10,Occasionally correct,Always confident but occasionally not confident,2,26.14,0,0.6,0.044399999999999995,HIGH,-0.2,0.022199999999999998,RANDOM,0.6114385928073756,0.499165407729011,-0.15214448267160835
