,student_id,assignment_id,question_id,correctness_trait,confidence_trait,given_confidence,acquired_grade,grade_class,awareness,awareness_change,awareness_class,outlook,outlook_change,outlook_class,initial_mastery,mastery,mastery_change
40,5,1,1,Always correct,Always confident but occasionally not confident,2,92.45,1,1.0,0.0,HIGH,0.0,0.0,RANDOM,0.6114385928073756,0.7888426553309169,0.0
41,5,1,2,Always correct,Always confident but occasionally not confident,2,94.61,1,1.0,0.0,HIGH,0.0,0.0,RANDOM,0.6114385928073756,0.8980085587460824,0.10916590341516552
42,5,1,3,Always correct,Always confident but occasionally not confident,0,96.67,1,0.3333,-0.6667000000000001,AVERAGE,-0.3333,-0.3333,PESSIMISTIC,0.6114385928073756,0.9538916131902438,0.05588305444416142
43,5,1,4,Always correct,Always confident but occasionally not confident,0,91.63,1,0.0,-0.3333,AVERAGE,-0.5,-0.16670000000000001,PESSIMISTIC,0.6114385928073756,0.9798169025027206,0.02592528931247673
44,5,1,5,Always correct,Always confident but occasionally not confident,2,93.66,1,0.2,0.2,AVERAGE,-0.4,0.09999999999999998,PESSIMISTIC,0.6114385928073756,0.9912934261799321,0.011476523677211525
45,5,1,6,Always correct,Always confident but occasionally not confident,2,95.03,1,0.3333,0.13329999999999997,AVERAGE,-0.3333,0.06670000000000004,PESSIMISTIC,0.6114385928073756,0.9962681359066804,0.004974709726748294
46,5,1,7,Always correct,Always confident but occasionally not confident,2,95.05,1,0.4286,0.0953,AVERAGE,-0.2857,0.047599999999999976,PESSIMISTIC,0.6114385928073756,0.99840483939793,0.002136703491249614
47,5,1,8,Always correct,Always confident but occasionally not confident,0,96.69,1,0.25,-0.17859999999999998,AVERAGE,-0.375,-0.08929999999999999,PESSIMISTIC,0.6114385928073756,0.9993189662459453,0.0009141268480152842
48,5,1,9,Always correct,Always confident but occasionally not confident,2,90.95,1,0.3333,0.08329999999999999,AVERAGE,-0.3333,0.041700000000000015,PESSIMISTIC,0.6114385928073756,0.9997093883726372,0.0003904221266919361
49,5,1,10,Always correct,Always confident but occasionally not confident,2,91.93,1,0.4,0.06670000000000004,AVERAGE,-0.3,0.033299999999999996,PESSIMISTIC,0.6114385928073756,0.9998760166228767,0.0001666282502394978
