,student_id,assignment_id,question_id,correctness_trait,confidence_trait,given_confidence,acquired_grade,grade_class,awareness,awareness_change,awareness_class,outlook,outlook_change,outlook_class,initial_mastery,mastery,mastery_change
20,3,1,1,Always correct,Always not confident,0,90.34,1,-1.0,0.0,LOW,-1.0,0.0,PESSIMISTIC,0.6114385928073756,0.7888426553309169,0.0
21,3,1,2,Always correct,Always not confident,0,97.65,1,-1.0,0.0,LOW,-1.0,0.0,PESSIMISTIC,0.6114385928073756,0.8980085587460824,0.10916590341516552
22,3,1,3,Always correct,Always not confident,0,90.44,1,-1.0,0.0,LOW,-1.0,0.0,PESSIMISTIC,0.6114385928073756,0.9538916131902438,0.05588305444416142
23,3,1,4,Always correct,Always not confident,0,90.02,1,-1.0,0.0,LOW,-1.0,0.0,PESSIMISTIC,0.6114385928073756,0.9798169025027206,0.02592528931247673
24,3,1,5,Always correct,Always not confident,0,95.96,1,-1.0,0.0,LOW,-1.0,0.0,PESSIMISTIC,0.6114385928073756,0.9912934261799321,0.011476523677211525
25,3,1,6,Always correct,Always not confident,0,95.84,1,-1.0,0.0,LOW,-1.0,0.0,PESSIMISTIC,0.6114385928073756,0.9962681359066804,0.004974709726748294
26,3,1,7,Always correct,Always not confident,0,91.02,1,-1.0,0.0,LOW,-1.0,0.0,PESSIMISTIC,0.6114385928073756,0.99840483939793,0.002136703491249614
27,3,1,8,Always correct,Always not confident,0,94.41,1,-1.0,0.0,LOW,-1.0,0.0,PESSIMISTIC,0.6114385928073756,0.9993189662459453,0.0009141268480152842
28,3,1,9,Always correct,Always not confident,0,96.73,1,-1.0,0.0,LOW,-1.0,0.0,PESSIMISTIC,0.6114385928073756,0.9997093883726372,0.0003904221266919361
29,3,1,10,Always correct,Always not confident,0,96.39,1,-1.0,0.0,LOW,-1.0,0.0,PESSIMISTIC,0.6114385928073756,0.9998760166228767,0.0001666282502394978
