,student_id,assignment_id,question_id,correctness_trait,confidence_trait,given_confidence,acquired_grade,grade_class,awareness,awareness_change,awareness_class,outlook,outlook_change,outlook_class,initial_mastery,mastery,mastery_change
100,11,1,1,Always incorrect,Always partially confident,1,4.0,0,-0.5,0.0,LOW,-0.5,0.0,PESSIMISTIC,0.6114385928073756,0.4585852974508641,0.0
101,11,1,2,Always incorrect,Always partially confident,1,52.2,0,-0.5,0.0,LOW,-0.5,0.0,PESSIMISTIC,0.6114385928073756,0.3231876181615058,-0.1353976792893583
102,11,1,3,Always incorrect,Always partially confident,1,12.46,0,-0.5,0.0,LOW,-0.5,0.0,PESSIMISTIC,0.6114385928073756,0.22457076801261655,-0.09861685014888927
103,11,1,4,Always incorrect,Always partially confident,1,46.01,0,-0.5,0.0,LOW,-0.5,0.0,PESSIMISTIC,0.6114385928073756,0.1625141517367327,-0.06205661627588385
104,11,1,5,Always incorrect,Always partially confident,1,62.71,0,-0.5,0.0,LOW,-0.5,0.0,PESSIMISTIC,0.6114385928073756,0.12698409841360814,-0.03553005332312456
105,11,1,6,Always incorrect,Always partially confident,1,48.29,0,-0.5,0.0,LOW,-0.5,0.0,PESSIMISTIC,0.6114385928073756,0.10773365773651153,-0.01925044067709661
106,11,1,7,Always incorrect,Always partially confident,1,43.5,0,-0.5,0.0,LOW,-0.5,0.0,PESSIMISTIC,0.6114385928073756,0.09761464028817113,-0.0101190174483404
107,11,1,8,Always incorrect,Always partially confident,1,50.33,0,-0.5,0.0,LOW,-0.5,0.0,PESSIMISTIC,0.6114385928073756,0.09238013541048656,-0.005234504877684565
108,11,1,9,Always incorrect,Always partially confident,1,8.01,0,-0.5,0.0,LOW,-0.5,0.0,PESSIMISTIC,0.6114385928073756,0.0896948010199802,-0.002685334390506361
109,11,1,10,Always incorrect,Always partially confident,1,62.58,0,-0.5,0.0,LOW,-0.5,0.0,PESSIMISTIC,0.6114385928073756,0.08832308844429099,-0.0013717125756892157
